Date,WellName,WT GL,WT GOR,WT LIQ,WT Oil,WT THP,WT WCT,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10,Z4 BHP*10,Z6 BHP*10,Z5 BHP*10,Z7 BHP*10,Forecast IB-25,Forecast Last RoFo,WI Rate,WI BHP,WI THP,WI IB25,Z1 BHP*10,Z2 BHP*10,Z3 BHP*10
3/15/2024 0:00,codfish-51,1.533359031,405.1710805,5449.369492,1034.726279,100.6723385,8101.2,,6620,,,,,,,,,6660,1050,,,6620,
4/2/2024 0:00,codfish-51,1.485215821,747.9553404,4117.032671,641.1876798,96.93251372,8442.597543,,6750,,,,,,,,,6780,980,,,6750,
5/9/2024 0:00,codfish-51,1.533433612,465.4961373,5024.444465,967.4440385,96.9076007,8074.525362,,6760,,,,,,,,,6750,990,,,6760,
6/28/2024 0:00,codfish-51,1.533312501,410.6097456,5229.801834,1120.330824,94.18866612,7857.794884,,6660,,,,,,,,,6660,970,,,6660,
7/24/2024 0:00,codfish-51,1.533632755,515.1360474,4936.651367,926.0083008,94.47840881,8124.217987,,6600,,,,,,,,,6620,1010,,,6600,
9/20/2024 0:00,codfish-51,1.533275962,705.289917,4727.063477,454.0923157,96.55261993,9039.377594,,6850,,,,,,,,,6910,1090,,,6850,
11/4/2024 0:00,codfish-51,1.533200145,393.9568481,5290.575684,922.3104248,99.2414093,8256.691742,,7260,,,,,,,,,7160,1060,,,7260,
12/2/2024 0:00,codfish-51,1.5330832,334.3107605,5088.383301,920.9328613,94.89465332,8190.126801,,7050,,,,,,,,,7080,1020,,,7050,
1/5/2025 0:00,codfish-51,1.533551335,277.1703491,5081.648438,908.8204346,97.00176239,8211.563873,,7150,,,,,,,,,7150,1010,,,7150,
1/24/2025 0:00,codfish-51,1.533301473,357.6419373,5175.980957,931.7774048,95.01493073,8199.80545,,7210,,,,,,,,,7230,1000,,,7210,
2/23/2025 0:00,codfish-51,1.533401847,341.4888916,5242.189453,955.2126465,94.53404999,8177.836609,,7260,,,,,,,,,7250,990,,,7260,
3/23/2025 0:00,codfish-51,1.532794595,331.5704346,4680.663086,715.2728271,95.72120667,8471.855927,,7250,,,,,,,,,7260,990,,,7250,
4/26/2025 0:00,codfish-51,1.533036828,398.9004517,5507.89209,964.661438,106.5430908,8248.583221,,7490,,,,,,,,,7480,1180,,,7490,
7/8/2023 0:00,cheetah-20,2.000002,435.600517,9896.300019,5799.199999,103.3041795,4140,11700,11720,11580,,,,,,,,,,,11700,11720,11580
